Ensembl,hgnc_symbol,entrezgene_id,entrezgene_accession,external_gene_name,description,log2FoldChange,pvalue,padj
ENSG00000230896,,NA,,,novel transcript,-1.240110275,2.09E-05,0.002569785
ENSG00000262877,,NA,,,novel transcript,-1.245453515,0.000254374,0.014752871
ENSG00000127129,EDN2,1907,EDN2,EDN2,endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177],-1.263150533,0.001846613,0.048433636
ENSG00000276600,RAB7B,338382,RAB7B,RAB7B,"RAB7B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30513]",-1.275286632,0.001629474,0.044671997
ENSG00000163406,SLC15A2,6565,SLC15A2,SLC15A2,solute carrier family 15 member 2 [Source:HGNC Symbol;Acc:HGNC:10921],-1.2884312,0.000509607,0.022509673
ENSG00000157111,TMEM171,134285,TMEM171,TMEM171,transmembrane protein 171 [Source:HGNC Symbol;Acc:HGNC:27031],-1.29520656,5.65E-06,0.000928135
ENSG00000176826,FKBP9P1,NA,,FKBP9P1,FKBP prolyl isomerase 9 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23568],-1.302305533,0.000505153,0.022509673
ENSG00000222020,HDAC4-AS1,101928111,HDAC4-AS1,HDAC4-AS1,HDAC4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54064],-1.302770174,0.000296202,0.016273018
ENSG00000136457,CHAD,1101,CHAD,CHAD,chondroadherin [Source:HGNC Symbol;Acc:HGNC:1909],-1.303541415,6.79E-05,0.005655717
ENSG00000239887,C1orf226,400793,C1orf226,C1orf226,chromosome 1 open reading frame 226 [Source:HGNC Symbol;Acc:HGNC:34351],-1.305929539,0.000392647,0.019602243
ENSG00000019102,VSIG2,23584,VSIG2,VSIG2,V-set and immunoglobulin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17149],-1.312512246,0.00078192,0.029618997
ENSG00000104140,RHOV,171177,RHOV,RHOV,ras homolog family member V [Source:HGNC Symbol;Acc:HGNC:18313],-1.313354024,0.001379411,0.040692661
ENSG00000245848,CEBPA,1050,CEBPA,CEBPA,CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833],-1.330072109,0.000216205,0.013373456
ENSG00000149599,DUSP15,128853,DUSP15,DUSP15,dual specificity phosphatase 15 [Source:HGNC Symbol;Acc:HGNC:16236],-1.331288765,2.48E-05,0.002877346
ENSG00000099769,IGFALS,3483,IGFALS,IGFALS,insulin like growth factor binding protein acid labile subunit [Source:HGNC Symbol;Acc:HGNC:5468],-1.336289133,1.68E-05,0.00219928
ENSG00000225968,ELFN1,392617,ELFN1,ELFN1,extracellular leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33154],-1.349284675,0.001674554,0.045202682
ENSG00000167757,KLK11,11012,KLK11,KLK11,kallikrein related peptidase 11 [Source:HGNC Symbol;Acc:HGNC:6359],-1.351136993,6.63E-05,0.005601671
ENSG00000167525,PROCA1,147011,PROCA1,PROCA1,protein interacting with cyclin A1 [Source:HGNC Symbol;Acc:HGNC:28600],-1.356166934,0.001086971,0.0357824
ENSG00000127324,TSPAN8,7103,TSPAN8,TSPAN8,tetraspanin 8 [Source:HGNC Symbol;Acc:HGNC:11855],-1.396531309,0.00018773,0.012355724
ENSG00000168907,PLA2G4F,255189,PLA2G4F,PLA2G4F,phospholipase A2 group IVF [Source:HGNC Symbol;Acc:HGNC:27396],-1.39993167,0.000955411,0.03289014
ENSG00000117013,KCNQ4,9132,KCNQ4,KCNQ4,potassium voltage-gated channel subfamily Q member 4 [Source:HGNC Symbol;Acc:HGNC:6298],-1.422905578,0.00045905,0.021435677
ENSG00000080709,KCNN2,3781,KCNN2,KCNN2,potassium calcium-activated channel subfamily N member 2 [Source:HGNC Symbol;Acc:HGNC:6291],-1.42782141,0.001283097,0.039620129
ENSG00000166823,MESP1,55897,MESP1,MESP1,mesoderm posterior bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:29658],-1.443336081,9.69E-07,0.000288519
ENSG00000116039,ATP6V1B1,525,ATP6V1B1,ATP6V1B1,ATPase H+ transporting V1 subunit B1 [Source:HGNC Symbol;Acc:HGNC:853],-1.466408787,9.15E-05,0.006990644
ENSG00000268433,MTDHP3,NA,,MTDHP3,metadherin pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:52359],-1.476444939,0.001756575,0.046906801
ENSG00000245648,KLRK1-AS1,101928100,KLRK1-AS1,KLRK1-AS1,KLRK1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54868],-1.515164873,0.0016432,0.044838427
ENSG00000100079,LGALS2,3957,LGALS2,LGALS2,galectin 2 [Source:HGNC Symbol;Acc:HGNC:6562],-1.534124307,0.001905612,0.04917374
ENSG00000106538,RARRES2,5919,RARRES2,RARRES2,retinoic acid receptor responder 2 [Source:HGNC Symbol;Acc:HGNC:9868],-1.540625528,0.000608683,0.025286952
ENSG00000179528,LBX2,85474,LBX2,LBX2,ladybird homeobox 2 [Source:HGNC Symbol;Acc:HGNC:15525],-1.541171904,0.00145155,0.041692078
ENSG00000170271,FAXDC2,10826,FAXDC2,FAXDC2,fatty acid hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1334],-1.558978318,4.15E-05,0.004242428
ENSG00000275549,STPG3-AS1,100129722,STPG3-AS1,STPG3-AS1,STPG3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51176],-1.559005542,1.78E-06,0.000420849
ENSG00000117115,PADI2,11240,PADI2,PADI2,peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341],-1.566161515,0.00059647,0.024896011
ENSG00000095970,TREM2,54209,TREM2,TREM2,triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:HGNC:17761],-1.575221464,0.000766432,0.029471564
ENSG00000127951,FGL2,10875,FGL2,FGL2,fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696],-1.578378848,0.000304654,0.016472866
ENSG00000144331,ZNF385B,151126,ZNF385B,ZNF385B,zinc finger protein 385B [Source:HGNC Symbol;Acc:HGNC:26332],-1.598769977,0.000190739,0.012451563
ENSG00000122035,RASL11A,387496,RASL11A,RASL11A,RAS like family 11 member A [Source:HGNC Symbol;Acc:HGNC:23802],-1.614130924,2.00E-07,8.17E-05
ENSG00000251165,F11-AS1,285441,F11-AS1,F11-AS1,F11 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27725],-1.629736245,0.001212367,0.038249423
ENSG00000261040,WFDC21P,NA,,WFDC21P,"WAP four-disulfide core domain 21, pseudogene [Source:HGNC Symbol;Acc:HGNC:50357]",-1.641323282,0.00117671,0.037568734
ENSG00000142102,PGGHG,80162,PGGHG,PGGHG,protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210],-1.647921574,0.001299789,0.039827928
ENSG00000166736,HTR3A,3359,HTR3A,HTR3A,5-hydroxytryptamine receptor 3A [Source:HGNC Symbol;Acc:HGNC:5297],-1.673676806,0.000761408,0.029342609
ENSG00000268555,,NA,,,novel transcript,-1.690756425,0.00138489,0.040764951
ENSG00000064787,BCAS1,8537,BCAS1,BCAS1,brain enriched myelin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:974],-1.706605631,6.61E-05,0.005601671
ENSG00000132329,RAMP1,10267,RAMP1,RAMP1,receptor activity modifying protein 1 [Source:HGNC Symbol;Acc:HGNC:9843],-1.712019977,0.000748031,0.029146679
ENSG00000167183,PRR15L,79170,PRR15L,PRR15L,proline rich 15 like [Source:HGNC Symbol;Acc:HGNC:28149],-1.717691938,3.02E-07,0.000112914
ENSG00000182938,OTOP3,347741,OTOP3,OTOP3,otopetrin 3 [Source:HGNC Symbol;Acc:HGNC:19658],-1.731192031,0.000471121,0.021616228
ENSG00000187017,ESPN,83715,ESPN,ESPN,espin [Source:HGNC Symbol;Acc:HGNC:13281],-1.750725498,0.000246436,0.014630485
ENSG00000118094,TREH,11181,TREH,TREH,trehalase [Source:HGNC Symbol;Acc:HGNC:12266],-1.75548589,0.000147406,0.010079253
ENSG00000154864,PIEZO2,63895,PIEZO2,PIEZO2,piezo type mechanosensitive ion channel component 2 [Source:HGNC Symbol;Acc:HGNC:26270],-1.786346247,0.000258612,0.014851625
ENSG00000274979,,NA,,,novel transcript,-1.792009074,0.000116821,0.008379164
ENSG00000204482,LST1,7940,LST1,LST1,leukocyte specific transcript 1 [Source:HGNC Symbol;Acc:HGNC:14189],-1.7968301,0.000126792,0.009020746
ENSG00000172955,ADH6,130,ADH6,ADH6,alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255],-1.798666058,4.10E-05,0.004231015
ENSG00000121380,BCL2L14,79370,BCL2L14,BCL2L14,BCL2 like 14 [Source:HGNC Symbol;Acc:HGNC:16657],-1.836180593,0.001638478,0.044797956
ENSG00000137440,FGFBP1,9982,FGFBP1,FGFBP1,fibroblast growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19695],-1.836449771,0.000116266,0.008373536
ENSG00000094755,GABRP,2568,GABRP,GABRP,gamma-aminobutyric acid type A receptor subunit pi [Source:HGNC Symbol;Acc:HGNC:4089],-1.843261626,0.000299106,0.016273018
ENSG00000168497,CAVIN2,8436,CAVIN2,CAVIN2,caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690],-1.872616536,0.000792955,0.029648085
ENSG00000224520,KRT8P45,NA,,KRT8P45,keratin 8 pseudogene 45 [Source:HGNC Symbol;Acc:HGNC:39879],-1.903459694,0.001207139,0.038164594
ENSG00000101842,VSIG1,340547,VSIG1,VSIG1,V-set and immunoglobulin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28675],-1.93339266,0.00019058,0.012451563
ENSG00000134827,TCN1,6947,TCN1,TCN1,transcobalamin 1 [Source:HGNC Symbol;Acc:HGNC:11652],-1.958155811,0.000597856,0.024896011
ENSG00000158104,HPD,3242,HPD,HPD,4-hydroxyphenylpyruvate dioxygenase [Source:HGNC Symbol;Acc:HGNC:5147],-1.976688033,3.97E-05,0.004148507
ENSG00000166866,MYO1A,4640,MYO1A,MYO1A,myosin IA [Source:HGNC Symbol;Acc:HGNC:7595],-1.983537228,0.000692152,0.027643592
ENSG00000227508,LINC01624,NA,,LINC01624,long intergenic non-protein coding RNA 1624 [Source:HGNC Symbol;Acc:HGNC:52051],-1.993294833,0.001545079,0.042967876
ENSG00000229951,FOSL2-AS1,403150,FOSL2-AS1,FOSL2-AS1,FOSL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55784],-1.996633483,0.001884852,0.048925403
ENSG00000100473,COCH,1690,COCH,COCH,cochlin [Source:HGNC Symbol;Acc:HGNC:2180],-1.998122937,9.67E-05,0.007356256
ENSG00000162877,PM20D1,148811,PM20D1,PM20D1,peptidase M20 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26518],-2.032258262,0.000884422,0.031461423
ENSG00000166825,ANPEP,290,ANPEP,ANPEP,"alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]",-2.037076634,0.000594236,0.02486313
ENSG00000069812,HES2,54626,HES2,HES2,hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005],-2.044527523,4.27E-08,2.48E-05
ENSG00000036473,OTC,5009,OTC,OTC,ornithine transcarbamylase [Source:HGNC Symbol;Acc:HGNC:8512],-2.05648723,0.000947105,0.032698377
ENSG00000176387,HSD11B2,3291,HSD11B2,HSD11B2,hydroxysteroid 11-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5209],-2.058378683,1.36E-05,0.00188301
ENSG00000007171,NOS2,4843,NOS2,NOS2,nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873],-2.093030798,0.000401058,0.019909029
ENSG00000136250,AOAH,313,AOAH,AOAH,acyloxyacyl hydrolase [Source:HGNC Symbol;Acc:HGNC:548],-2.181764688,4.39E-05,0.004381216
ENSG00000233695,GAS6-AS1,NA,,GAS6-AS1,GAS6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39826],-2.199348379,2.76E-06,0.000557269
ENSG00000162482,AKR7A3,22977,AKR7A3,AKR7A3,aldo-keto reductase family 7 member A3 [Source:HGNC Symbol;Acc:HGNC:390],-2.221731849,0.000439678,0.021052695
ENSG00000146755,TRIM50,135892,TRIM50,TRIM50,tripartite motif containing 50 [Source:HGNC Symbol;Acc:HGNC:19017],-2.22823817,0.001135557,0.036414484
ENSG00000164825,DEFB1,1672,DEFB1,DEFB1,defensin beta 1 [Source:HGNC Symbol;Acc:HGNC:2766],-2.228837897,2.65E-06,0.000548497
ENSG00000172023,REG1B,5968,REG1B,REG1B,regenerating family member 1 beta [Source:HGNC Symbol;Acc:HGNC:9952],-2.250948374,0.001811511,0.047798329
ENSG00000255026,,NA,,,novel transcript,-2.259805114,0.000466453,0.021599855
ENSG00000185303,SFTPA2,729238,SFTPA2,SFTPA2,surfactant protein A2 [Source:HGNC Symbol;Acc:HGNC:10799],-2.327030573,1.05E-06,0.000298883
ENSG00000154316,TDH,157739,TDH,TDH,L-threonine dehydrogenase (pseudogene) [Source:HGNC Symbol;Acc:HGNC:15547],-2.350575088,3.58E-06,0.000641612
ENSG00000156284,CLDN8,9073,CLDN8,CLDN8,claudin 8 [Source:HGNC Symbol;Acc:HGNC:2050],-2.353014365,0.000726295,0.028552997
ENSG00000163501,IHH,3549,IHH,IHH,Indian hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:5956],-2.375939133,0.000261954,0.014994503
ENSG00000184908,CLCNKB,1188,CLCNKB,CLCNKB,chloride voltage-gated channel Kb [Source:HGNC Symbol;Acc:HGNC:2027],-2.423925189,2.96E-06,0.000583475
ENSG00000170835,CEL,1056,CEL,CEL,carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848],-2.499870029,0.001904079,0.04917374
ENSG00000105697,HAMP,57817,HAMP,HAMP,hepcidin antimicrobial peptide [Source:HGNC Symbol;Acc:HGNC:15598],-2.569448937,0.000138967,0.009652424
ENSG00000114204,SERPINI2,5276,SERPINI2,SERPINI2,serpin family I member 2 [Source:HGNC Symbol;Acc:HGNC:8945],-2.643061858,0.00126469,0.039196477
ENSG00000160868,CYP3A4,1576,CYP3A4,CYP3A4,cytochrome P450 family 3 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:2637],-2.745221567,0.00108639,0.0357824
ENSG00000158516,CPA2,1358,CPA2,CPA2,carboxypeptidase A2 [Source:HGNC Symbol;Acc:HGNC:2297],-2.776713444,0.000437705,0.021052695
ENSG00000161640,SIGLEC11,114132,SIGLEC11,SIGLEC11,sialic acid binding Ig like lectin 11 [Source:HGNC Symbol;Acc:HGNC:15622],-2.918654047,5.26E-05,0.004885221
ENSG00000168955,TM4SF20,79853,TM4SF20,TM4SF20,transmembrane 4 L six family member 20 [Source:HGNC Symbol;Acc:HGNC:26230],-3.229802136,0.001597971,0.044083443
ENSG00000248144,ADH1C,126,ADH1C,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]",-3.384494474,5.53E-07,0.000178828
ENSG00000090402,SI,6476,SI,SI,sucrase-isomaltase [Source:HGNC Symbol;Acc:HGNC:10856],-4.456392956,9.26E-07,0.000280539
